date,ticker,fator_risco,fator_assimetria
2015-10-07,ABEV3.SA,0.05712555060031345,0.033876223110969626
2015-10-07,ANIM3.SA,0.16574825002965493,0.05534323241738608
2015-10-07,B3SA3.SA,0.10065609604721142,0.04036910769211295
2015-10-07,BBAS3.SA,0.1372343938012561,0.035000557311856285
2015-10-07,BBDC3.SA,0.09031464357137084,0.045849178411645826
2015-10-07,BBDC4.SA,0.09946107195599875,0.04959408260591242
2015-10-07,BBSE3.SA,0.09100198689996836,0.041197372844649756
2015-10-07,BRAP4.SA,0.12612124986218914,0.05443817270410271
2015-10-07,BRFS3.SA,0.05925977423077179,0.06308399561771422
2015-10-07,BRKM5.SA,0.1263089318010059,0.033282498625423027
2015-10-07,BRPR3.SA,0.0996873723185769,0.041891467299777344
2015-10-07,BRSR6.SA,0.12050724640614148,0.044210547501393034
2015-10-07,CBEE3.SA,0.0662628908119624,0.4283036720939984
2015-10-07,CMIG4.SA,0.11326619044080768,0.041986114029663485
2015-10-07,COGN3.SA,0.14733709606421086,0.038110276703376786
2015-10-07,CPFE3.SA,0.10048707516700489,0.04878970063865017
2015-10-07,CPLE6.SA,0.09882554882113838,0.05706129954377782
2015-10-07,CSAN3.SA,0.10574056402084311,0.043062064072440696
2015-10-07,CSMG3.SA,0.14469822460417464,0.055616423744645135
2015-10-07,CSNA3.SA,0.17525689362743194,0.07007058297497154
2015-10-07,CYRE3.SA,0.07837928637270472,0.036771940254248695
2015-10-07,ECOR3.SA,0.12208353316611342,0.04842702218846928
2015-10-07,EGIE3.SA,0.07891382461836953,0.050805683130828734
2015-10-07,ELET3.SA,0.12980839841683833,0.044378085368052725
2015-10-07,ELET6.SA,0.13174737596906458,0.04810316568105796
2015-10-07,EMBR3.SA,0.07646132494262778,0.04773984812311297
2015-10-07,EQTL3.SA,0.07138866258618629,0.04486157282468019
2015-10-07,EVEN3.SA,0.11731068411415285,0.04713261764444913
2015-10-07,GGBR4.SA,0.12532094248187758,0.08012994035761328
2015-10-07,GOAU4.SA,0.1481413003323742,0.06826013038102532
2015-10-07,HYPE3.SA,0.07633914008346783,0.02676499767536893
2015-10-07,ITSA4.SA,0.08924297713896606,0.03334446138795708
2015-10-07,ITUB4.SA,0.09022966416129458,0.03461476884877629
2015-10-07,KLBN11.SA,0.06613005331145609,0.03676332255783021
2015-10-07,LIGT3.SA,0.11591196951736148,0.042486274037944666
2015-10-07,LREN3.SA,0.07901375085358057,0.07133675764769956
2015-10-07,MDIA3.SA,0.07379906279494841,0.040578925261791986
2015-10-07,MRFG3.SA,0.14622802428038117,0.045139588235863636
2015-10-07,MRVE3.SA,0.10255229039506235,0.02775980420001146
2015-10-07,MULT3.SA,0.09539139590962667,0.04871198781636192
2015-10-07,NATU3.SA,0.09670322445739002,0.054703819869889786
2015-10-07,ODPV3.SA,0.0693856222448,0.0362311724165685
2015-10-07,OIBR4.SA,0.19904790108815762,0.06260287304474696
2015-10-07,PETR3.SA,0.16805904935156185,0.053022075727788005
2015-10-07,PETR4.SA,0.16507548332143665,0.052794725182229205
2015-10-07,POMO4.SA,0.12276860814002105,0.06372118259177925
2015-10-07,PPLA11.SA,0.08049806807253945,0.030213523734881717
2015-10-07,PSSA3.SA,0.08556178913191399,0.05919202891612622
2015-10-07,QUAL3.SA,0.10087217521402542,0.04912823328623181
2015-10-07,RADL3.SA,0.08111803247743782,0.03997602310551126
2015-10-07,RAIL3.SA,0.07788440418967181,-0.18200396453488182
2015-10-07,RENT3.SA,0.09178425486588082,0.03178848679750387
2015-10-07,SANB11.SA,0.10122802679758773,0.03687165062754619
2015-10-07,SBSP3.SA,0.10440902271001944,0.04239219051858009
2015-10-07,SEER3.SA,0.15992503869615754,0.05961530273921817
2015-10-07,TAEE11.SA,0.06679908332378905,0.049505321540485786
2015-10-07,TOTS3.SA,0.09474060036835993,0.04967551858572792
2015-10-07,UGPA3.SA,0.0681579171066673,0.033540000376773196
2015-10-07,USIM5.SA,0.15999134598545778,0.06307935989221274
2015-10-07,VALE3.SA,0.13564288592441776,0.08156242500779265
2015-10-07,VLID3.SA,0.0835009426725349,0.06850152206481376
2015-10-07,WEGE3.SA,0.057818954779291984,0.023287363572537245
2015-10-07,YDUQ3.SA,0.14425349968397894,0.04379629832812849
