,CAGR,Volatilidade,Sharpe Ratio,Max Drawdown,Calmar Ratio,Sortino Ratio,VaR Histórico (95%),Rachev Ratio (95%)
Estrategia_Maxwell,0.09833542033990383,0.19126782376412224,0.11957968201326187,-0.4478549805279223,0.2195697817227154,0.14947893874391657,-0.016973634218087893,0.9137858220800236
Benchmark_Universo,0.07468889662208911,0.23436299091119256,0.04429509499009367,-0.5113377539033461,0.14606567975342644,0.05729121694820723,-0.021721922773112058,0.9472949301393295
Benchmark_IBOV,0.053982883668760584,0.23883304722704277,-0.034049994801768346,-0.4681580884813592,0.115309091064394,-0.04641120200957012,-0.02256102209394186,0.9672333964547166
CDI,0.09350901274650658,0.0021069278789215516,0.0,0.0,935090127.4650658,0.0,8.442e-05,7.078396774700434
