rebalance_date,ticker,weight,fator_risco,fator_assimetria,holding_period_return
2011-01-07,BBAS3.SA,0.07692307692307693,0.0707420050259646,0.0,-0.22810989335240173
2011-01-07,BRAP4.SA,0.07692307692307693,0.0560104811808553,0.0855081934838562,-0.2925934086002041
2011-01-07,BRFS3.SA,0.07692307692307693,0.0605275452490471,0.0394684796378953,0.2113763589907507
2011-01-07,BRKM5.SA,0.07692307692307693,0.0783253820602027,0.0286139571371379,-0.35771146256723374
2011-01-07,CPLE6.SA,0.07692307692307693,0.0618079392781436,0.0289437374437637,-0.0952379654500205
2011-01-07,CSNA3.SA,0.07692307692307693,0.06228330124532,0.1216473469781819,-0.4337348986242491
2011-01-07,ECOR3.SA,0.07692307692307693,0.0580545958802138,0.0446366098876275,0.017624567167726868
2011-01-07,EGIE3.SA,0.07692307692307693,0.0571393490020507,0.0281296528938338,0.11590499555373812
2011-01-07,ELET6.SA,0.07692307692307693,0.0648834567929826,0.0472271702331215,-0.03948774932796084
2011-01-07,ITSA3.SA,0.07692307692307693,0.0726936099697446,0.0501122157028617,0.0
2011-01-07,ITSA4.SA,0.07692307692307693,0.068897024135915,0.0,-0.08473952173094945
2011-01-07,OIBR4.SA,0.07692307692307693,0.0773169408024375,0.0430847537621692,-0.12031249999999427
2011-01-07,VALE3.SA,0.07692307692307693,0.0752741699337328,0.0320533061850789,-0.2862068702434648
