Date,Estrategia,Benchmark,CDI,Estrategia_Acum,Benchmark_Acum,CDI_Acum
2011-01-10,-0.0017870466863588769,0.0009991863768075,0.0001561535723513,0.9982129533136411,1.0009991863768075,1.0001561535723513
2011-01-11,0.008892400343206179,0.0042209134855333,0.0001561535723513,1.0070894625222804,1.0052243173415933,1.0003123315286409
2011-01-12,0.013385805756268701,0.0171818865995483,0.0001561535723513,1.0205701664467888,1.022495967569265,1.0004685338726762
2011-01-13,-0.005849665512938916,-0.0127315622687866,0.0001561535723513,1.0146001723405906,1.0094779964885738,1.0006247606082654
2011-01-14,0.0013051628471804,0.0030966756691788,0.0001561535723513,1.0159243907902722,1.0126040224388715,1.0007810117392175
2011-01-17,-0.0030126759402392157,-0.0046659148576261,0.0001561535723513,1.012863739821036,1.007879298285682,1.000937287269342
2011-01-18,0.005152535945811461,0.0044045376651702,0.0001561535723513,1.018082556648673,1.0123185406169266,1.001093587202449
2011-01-19,-0.012225814151557608,-0.0121545403271291,0.0001561535723513,1.0056356685201437,1.0000142740910976,1.0012499115423485
2011-01-20,-0.0031995502948970614,-0.0070798481258386,0.0001629779004204,1.0024180866203711,0.9929343249068618,1.001413093150728
2011-01-21,-0.0032649050809336233,-0.0061671602311607,0.0001629779004204,0.9991452867161446,0.9868107398261419,1.001576301354103
2011-01-24,0.012335611913419746,0.0042526723851128,0.0001629779004204,1.0114703552181974,0.9910073226087333,1.0017395361568087
2011-01-26,-0.0112103812008011,-0.0103417978596223,0.0003259823626369,1.0001313869628916,0.9807585252009082,1.0020660855775518
2011-01-27,-0.006821813412929701,-0.0095766202389788,0.0001629779004204,0.9933086772526161,0.9713661732589183,1.0022294002042618
2011-01-28,-0.022599883309354685,-0.0198821472131195,0.0001629779004204,0.9708600170565375,0.9520533280043398,1.0023927414476466
2011-01-31,-0.0011818040373254848,-0.0018441332573689,0.0001629779004204,0.9697126507687022,0.9502976147993784,1.0025561093120443
2011-02-01,0.015477930822765922,0.0191062711227938,0.0001629779004204,0.9847217960952611,0.9684542586750796,1.0027195038017935
2011-02-02,-0.017485975362674093,-0.0170825533921912,0.0001629779004204,0.9675029750296512,0.9519105870933676,1.0028829249212337
2011-02-03,0.005761811190864178,0.0011546305182341,0.0001629779004204,0.9730775444983715,0.9530096921078558,1.0030463726747048
2011-02-04,-0.023069524517204665,-0.02240694974912,0.0001629779004204,0.950629108228425,0.9316556518263707,1.0032098470665476
2011-02-07,0.009878310834026509,0.0014248724509338,0.0001629779004204,0.9600197180473788,0.9329831422984148,1.0033733481011036
2011-02-08,0.0031067008155402764,0.0062574584621033,0.0001629779004204,0.9630022120883714,0.9388212455571898,1.0035368757827148
2011-02-09,-0.017816401695109015,-0.0236122303142722,0.0001629779004204,0.9458449778445265,0.9166535820831616,1.0037004301157244
2011-02-10,-0.002943638559916869,0.0056059048864804,0.0001631112205739,0.9430607520960396,0.9217922548781714,1.0038641449179713
2011-02-11,0.011784734213915038,0.0182415063953669,0.0001629779004204,0.9541744724070662,0.9386071341907313,1.0040277525886174
2011-02-14,0.0056089247459154305,0.0121966056329461,0.0001631112205739,0.9595263652172711,0.9500549552507254,1.0041915207808323
2011-02-15,0.00010397127345166952,-0.003260314312329,0.0001631112205739,0.9596261283953731,0.9469574774826224,1.004355315685477
2011-02-16,0.017405296583631925,0.0185405706878099,0.0001631112205739,0.976328705769497,0.9645146095322391,1.0045191373069084
2011-02-17,0.0003719187638386842,0.0016871142945937,0.0001631112205739,0.9766918207348471,0.9661418559173255,1.0046829856494846
2011-02-18,0.010033323152803069,0.0056437910910835,0.0001632483452211,0.9864912853929795,0.9715945587164747,1.0048469984843638
2011-02-21,-0.007499014388701231,-0.0118706568528067,0.0001632483452211,0.9790935730494891,0.9600610931098973,1.0050110380940669
2011-02-22,-0.005900804601541223,-0.0121768090515766,0.0001632483452211,0.9733161331882992,0.9483706125012502,1.0051751044829649
2011-02-23,-0.0015585859379468074,0.0070740517760385,0.0001632483452211,0.9717991363499352,0.9550794353169575,1.0053391976554293
2011-02-24,0.0,0.0005828725153191,0.0001632483452211,0.9717991363499352,0.9556361248697504,1.0055033176158326
2011-02-25,-0.0020738230049312236,-0.0006870901731168,0.0001632483452211,0.9697837969448004,0.9549795166792768,1.0056674643685477
2011-02-28,0.00648053137131414,0.0071745661629523,0.0001631112205739,0.9760685112642933,0.9618310804059566,1.0058315000161524
2011-03-01,-0.004360935829241285,-0.0169182137927964,0.0001632483452211,0.9718119391217267,0.9455586165550923,1.0059957003441014
2011-03-02,0.008767991322176715,0.0156846761167217,0.0001632483452211,0.9803327777707338,0.9603893972051344,1.0061599274774822
2011-03-03,0.009024529523473794,0.0128414732023423,0.0001697601391912,0.9891798198665549,0.9727222119131578,1.0063307333268194
2011-03-04,0.0013237667250841692,-0.0019663663311125,0.0001697601391912,0.9904892631972191,0.9708094837061265,1.0065015681721814
2011-03-09,0.0,-0.0109980591660294,0.0001697601391912,0.9904892631972191,0.9601324635653842,1.0066724320184905
2011-03-10,-0.019206259204438823,-0.018182088487155,0.0001697601391912,0.9714656696690396,0.9426752501534482,1.00684332487067
2011-03-11,0.00952250186381027,0.0097515179963962,0.0001697601391912,0.9807164533190907,0.951867764820077,1.0070142467336438
2011-03-14,0.00953114492931244,0.0072580040488865,0.0001697601391912,0.9900638039702363,0.9587764249111457,1.007185197612337
2011-03-15,-0.0022634016403316774,-0.0024416025249742,0.0001698932326226,0.987822891932297,0.9564354739711969,1.007356311561409
