Date,Estrategia,Benchmark_Universo,Benchmark_IBOV,CDI,Estrategia_Acum,Benchmark_Universo_Acum,Benchmark_IBOV_Acum,CDI_Acum
2011-02-01,0.019227168492865567,0.021237426893752718,0.0191062711227938,0.00041922,1.0192271684928655,1.0212374268937527,1.0191062711227938,1.00041922
2011-02-02,-0.018415217081233073,-0.016247934407573012,-0.0170825533921912,0.00041922,1.000457878929979,1.0046444281670244,1.0016973338340218,1.0008386157454083
2011-02-03,-0.005209176186783274,-0.00093162233639516,0.0011546305182341,0.00041922,0.9952463175711772,1.003708478977609,1.0028539241457004,1.0012581873099011
2011-02-04,-0.02063094414754209,-0.02282904900511078,-0.02240694974912,0.00041922,0.9747134463803193,0.9807947689241839,0.9803830266616599,1.0016779347671851
2011-02-07,0.011367884966976992,0.00830853574002447,0.0014248724509338,0.00041922,0.9857938767145364,0.9889437373154196,0.9817799474277132,1.0020978581909983
2011-02-08,0.004991749727958716,0.0015589885912582011,0.0062574584621033,0.00041922,0.9907147130304497,0.9904854893192906,0.9879233946676682,1.002517957655109
2011-02-09,-0.018979375631462833,-0.010627507586434465,-0.0236122303142722,0.00041922,0.971911566348228,0.9799590972672966,0.9645963199399176,1.0029382332333172
2011-02-10,0.0007920482077048165,-0.0008459868181714067,0.0056059048864804,0.00041957,0.9726813671624017,0.9791300647886613,0.9700037551633498,1.003359036027835
2011-02-11,0.011612071206664066,0.01817161550291495,0.0182415063953669,0.00041922,0.9839762124592869,0.996922439853345,0.987698084866692,1.0037796642029186
2011-02-14,0.006910949858046066,0.010317150961340848,0.0121966056329461,0.00041957,0.990776422725103,1.0072078391620602,0.9997446488922271,1.0042008200366284
2011-02-15,0.0012898437222081914,0.0003117902481413725,-0.003260314312329,0.00041957,0.9920543694740669,1.0075218767441625,0.9964851671047695,1.0046221525746912
2011-02-16,0.01932787904403714,0.015225322126610421,0.0185405706878099,0.00041957,1.0112286763323703,1.0228617218671994,1.0149605707848295,1.005043661891247
2011-02-17,0.0005636723379219166,-0.004578699453255174,0.0016871142945937,0.00041957,1.0117986779645323,1.0181783454605304,1.0166729252722497,1.0054653480604667
2011-02-18,0.007836792636547775,0.01053145202825635,0.0056437910910835,0.00041993,1.0197279343936734,1.0289012418619576,1.0224108148704472,1.0058875731240777
2011-02-21,-0.008170357590479748,-0.011768741944903608,-0.0118706568528067,0.00041993,1.0113963925246758,1.0167923686596934,1.0102741269245215,1.0063099754926599
2011-02-22,-0.008602915187865016,-0.013885849394131042,-0.0121768090515766,0.00041993,1.0026954351384734,1.002673342963383,0.9979722117912133,1.0067325552406685
2011-02-23,0.003909412853580733,-0.0025813068701329867,0.0070740517760385,0.00041993,1.0066153855608306,1.0000851353746922,1.0050319188884722,1.0071553124425907
2011-02-24,0.0,2.4508356180778736e-05,0.0005828725153191,0.00041993,1.0066153855608306,1.000109645817401,1.0056177243710107,1.0075782471729449
2011-02-25,0.007566638333657958,0.00595034734635853,-0.0006870901731168,0.00041993,1.014232080124465,1.006060645594458,1.0049267743146832,1.0080013595062802
2011-02-28,0.006888238186379958,0.005970766338950289,0.0071745661629523,0.00041957,1.02121835226863,1.0120675986321161,1.0121366879459262,1.0084242866366884
2011-03-01,-0.008292950063258309,-0.015952910309039822,-0.0169182137927964,0.00041993,1.0127494394695833,0.9959221750044527,0.9950131430717242,1.0088477542473757
2011-03-02,0.0086052394485341,0.012000552275197467,0.0156846761167217,0.00041993,1.0214643908975878,1.0078737911276219,1.0106196019526854,1.0092713996848168
2011-03-03,0.0022182056671368917,0.014683581659150496,0.0128414732023423,0.00043704,1.0237302089982554,1.0226729882417618,1.0235974464889226,1.009712491657335
2011-03-04,0.004614580845750617,-0.00282316407096651,-0.0019663663311125,0.00043704,1.028454294811915,1.0197858146050096,1.021584678933534,1.0101537764046888
2011-03-09,0.0,-0.000856328273640902,-0.0109980591660294,0.00043704,1.028454294811915,1.0189125431789054,1.010349230191514,1.0105952540111287
2011-03-10,-0.00114793179927775,-0.014479356778013772,-0.018182088487155,0.00043704,1.0272736994227967,1.0041593449406248,0.991978971085243,1.0110369245609416
2011-03-11,0.005803698508250533,0.010786919220864173,0.0097515179963962,0.00043704,1.0332356862597019,1.0149911306793753,1.0016522718738274,1.0114787881384517
2011-03-14,0.008910744091454132,0.008201332465441788,0.0072580040488865,0.00043704,1.04244258504612,1.0233154103915514,1.008922268118664,1.0119208448280197
2011-03-15,-0.0017470673847261333,-0.0031504937859686017,-0.0024416025249742,0.00043739,1.0406213676053364,1.020091461550027,1.0064588809613229,1.0123634488863391
2011-03-16,-0.01689962965795149,-0.012489658619763828,-0.0149541079023953,0.00043739,1.0230352518786552,1.0073508674343312,0.9914081862561033,1.0128062465352476
2011-03-17,0.0033890863604718415,0.0003645774455771311,0.0032271260397254,0.00043704,1.026502406697079,1.0077181248403804,0.9946075854299673,1.0132488833772335
2011-03-18,0.007103967095049308,0.008350392066699389,0.0100277878458379,0.00043739,1.0337946460172438,1.0161329662755167,1.0045812992865202,1.013692068306334
2011-03-21,0.002981770962556983,0.0026800050490881954,-0.002840909090909,0.00043704,1.0368771848739848,1.0188562077556802,1.00172737514082,1.0141350922878665
2011-03-22,0.006646972216547741,0.001933178867543948,0.0133153396311291,0.00043704,1.0437692787138144,1.0208258390455793,1.0150657153586196,1.0145783098885999
2011-03-23,0.0037469146088249085,0.004725341722017871,0.0032259019207434,0.00043739,1.04768019307247,1.0256495899737352,1.0183402177994758,1.0150220762955622
