ESTRATÉGIA ASSIMETRIA DE BAIXA;ASSIMETRIA ONLY;ENTROPIA ONLY;ESTRATÉGIA COM ASSIMETRIA DE ALTA;Data
0,994004626;1,031127587;0,988536031;0,909822499;08/06/2011
0,991780279;1,032124586;0,986148355;0,906861109;09/06/2011
0,979342768;1,0229568;0,976773751;0,89921841;10/06/2011
0,975210633;1,018324996;0,971349126;0,895556581;13/06/2011
0,982988789;1,025287442;0,978717371;0,899056946;14/06/2011
0,987134806;1,023756801;0,979528799;0,890501688;15/06/2011
0,985488743;1,019994969;0,97616673;0,889553437;16/06/2011
0,977804722;1,014804982;0,971172659;0,88465303;17/06/2011
0,97922019;1,016537109;0,975073377;0,889437917;20/06/2011
0,982268638;1,02116428;0,979019367;0,895121657;21/06/2011
0,977651258;1,013892638;0,975464528;0,902408994;22/06/2011
0,978010482;1,010947812;0,974866216;0,904085922;24/06/2011
0,981040307;1,013025796;0,977188674;0,907141882;27/06/2011
0,995191765;1,025950116;0,9918076;0,917788858;28/06/2011
0,997437781;1,02572761;0,994087473;0,919188184;29/06/2011
0,999835271;1,029635429;0,995871978;0,918207418;30/06/2011
1,002336617;1,037768518;0,999159809;0,923852516;01/07/2011
1,007399728;1,040317143;1,004723473;0,931175476;04/07/2011
0,999196768;1,029291301;0,996556585;0,923086138;05/07/2011
0,989008549;1,019198002;0,987130214;0,913059285;06/07/2011
0,980332508;1,011574568;0,979791549;0,905294663;07/07/2011
0,968699436;1,000006648;0,968057425;0,894380059;08/07/2011
0,956729418;0,981700681;0,951290023;0,875766674;11/07/2011
0,955334485;0,978839674;0,946980923;0,869175839;12/07/2011
0,973163457;0,993906018;0,962273003;0,877407293;13/07/2011
0,968225437;0,984767089;0,953111736;0,861828975;14/07/2011
0,961728149;0,974054435;0,946751687;0,857033162;15/07/2011
0,952616408;0,966160514;0,936532455;0,847668019;18/07/2011
0,952639255;0,964928915;0,93843591;0,850769577;19/07/2011
0,952618583;0,968551796;0,93752631;0,850971394;20/07/2011
0,96188229;0,983072951;0,948927737;0,859220696;21/07/2011
0,969252859;0,987434771;0,953146469;0,860094588;22/07/2011
0,96565429;0,983245335;0,951617693;0,858015455;25/07/2011
0,960724781;0,975230078;0,943187031;0,850060886;26/07/2011
0,947416058;0,957866769;0,930847246;0,833291526;27/07/2011
0,946530337;0,956733537;0,933168795;0,836751575;28/07/2011
0,94460825;0,959989542;0,932632642;0,841504595;29/07/2011
0,946807656;0,958635682;0,936581156;0,846629765;01/08/2011
0,926009055;0,939473138;0,915892189;0,828919319;02/08/2011
0,911269545;0,92797227;0,900590332;0,815539819;03/08/2011
0,876159897;0,885321319;0,86921396;0,786499132;04/08/2011
0,877014831;0,888560796;0,871817305;0,78660045;05/08/2011
0,816479674;0,822443946;0,808627884;0,728265909;08/08/2011
0,847298824;0,859612289;0,838500778;0,756040612;09/08/2011
0,846545844;0,86180725;0,834254159;0,755271364;10/08/2011
0,866379592;0,887741937;0,856093491;0,778567594;11/08/2011
0,86146753;0,878105488;0,852370769;0,778815524;12/08/2011
0,880529808;0,895593445;0,867838988;0,788211326;15/08/2011
0,878379557;0,889383986;0,862920233;0,785703244;16/08/2011
0,888772691;0,901002667;0,868254485;0,782940769;17/08/2011
0,869703192;0,876747894;0,845413946;0,759227531;18/08/2011
0,856117071;0,864904664;0,829201866;0,744223941;19/08/2011
0,857997308;0,866714052;0,827108121;0,739520509;22/08/2011
0,867671702;0,882348259;0,838915253;0,75742041;23/08/2011
0,864898719;0,877764659;0,835813703;0,754576677;24/08/2011
0,859886293;0,863593224;0,832472813;0,752888148;25/08/2011
0,871647669;0,868045234;0,839393436;0,757869082;26/08/2011
0,885306661;0,891685475;0,858076189;0,775319499;29/08/2011
0,89397635;0,902567705;0,862619112;0,7805105;30/08/2011
0,91517414;0,924697961;0,885457819;0,800320007;31/08/2011
0,937298053;0,952407485;0,90303211;0,815203537;01/09/2011
0,920524356;0,932069086;0,88300336;0,795267135;02/09/2011
0,900932424;0,908469249;0,864877956;0,782959092;05/09/2011
0,923156984;0,933761273;0,893068872;0,809952746;06/09/2011
0,935347694;0,95268726;0,899174018;0,813312597;08/09/2011
0,916156983;0,925466415;0,878037257;0,78956798;09/09/2011
0,912234849;0,919544322;0,880379674;0,795287113;12/09/2011
0,910720685;0,910848343;0,877838878;0,7898981;13/09/2011
0,919422954;0,918170452;0,885485339;0,793412627;14/09/2011
0,921411282;0,91828258;0,88773385;0,794138959;15/09/2011
