Date,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BRAP4.SA,BRFS3.SA,BRKM5.SA,CBEE3.SA,CMIG4.SA,CPFE3.SA,CPLE6.SA,CSAN3.SA,CSNA3.SA,CYRE3.SA,DASA3.SA,ECOR3.SA,EGIE3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENEV3.SA,FNOR11.SA,GFSA3.SA,GGBR4.SA,GOAU4.SA,HYPE3.SA,ITSA3.SA,ITSA4.SA,ITUB4.SA,KLBN4.SA,LIGT3.SA,LREN3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,NATU3.SA,OIBR4.SA,PDGR3.SA,PETR3.SA,PETR4.SA,PRIO3.SA,RENT3.SA,RSID3.SA,SANB11.SA,SBSP3.SA,TELB4.SA,TOTS3.SA,USIM3.SA,USIM5.SA,VALE3.SA,^BVSP,CDI
2010-02-04,-0.07264293747028516,-0.01842549873971222,-0.029946888518417647,-0.02954897078478136,-0.05395237630981964,-0.027237389141497648,-0.025563920880598445,-0.049999984313607415,-0.03510965871532534,-0.01576937470521289,-0.017132367296975204,-0.02390945454024962,-0.04176173009334194,-0.059130461319633176,-0.05194805597018026,0.0,-0.01955863387346979,-0.07500004911907054,0.0,-0.03030295440608144,-0.008163278080284275,0.0,-0.06697461130931082,-0.04673954348943643,-0.03887689709392095,-0.01043841302864812,-0.007205898003760369,-0.043289998463044044,-0.038502944546427775,-0.0612652161099172,-0.01650290404718613,-0.04436422622976499,-0.03612903768737852,-0.05960790327998966,-0.03929706598617366,-0.03546099290780147,-0.027468448403860424,-0.036303608122079445,-0.04805432511341978,-0.051116381658882215,0.0,-0.05594397283743058,-0.0765517405626921,-0.06197060517374031,-0.03999996423721097,-0.0810810642819707,-0.01776951315645736,-0.018236469330370042,-0.03884463612158062,-0.054097006206090814,-0.04731109091180019,1.302049117413162e-06
2010-02-05,-0.04916667938232422,-0.04778155819060437,-0.026963754394673356,-0.03685895986605858,-0.019098093922054638,-0.022222206390380417,-0.0007716225966358792,-0.06578947259789525,0.02162619792385767,-0.012430975408590728,-0.001340674093722738,0.00558655765805427,-0.005676641088193879,-0.024953744150150947,-0.013013775644640457,0.0,0.01023016904730567,-0.04213035830296674,0.0,-0.015625058983760765,0.01234574113122111,0.0,-0.04269801598012424,-0.024515620662860504,-0.03402887572787705,-0.07637136350313456,-0.015322481477575312,-0.02352928207027216,-0.025483093034118443,-0.044210777969672765,-0.001198552960432031,-0.0005396965676418564,-0.049531451607242816,-0.0016681229714426982,-0.018955856477508082,-0.026470633114085484,-0.01984732824427482,0.003424664186526538,-0.017832688951265996,-0.024148569588878344,0.0,-0.006878425744059502,0.0007468061764817069,-0.03754752551021612,-0.010416656965389626,0.10084033272397708,-0.03645448771140325,-0.028169034922115643,-0.011398947918353275,-0.008410460772264372,-0.01831576313072858,1.302049117413162e-06
2010-02-08,0.021034160764918708,0.012544816711655749,-0.010040158015984013,-0.001663939488296795,0.008112462560404099,0.0022727620479887634,0.016988437858617367,0.06338027173250249,0.004702934548479698,0.02097900756034843,0.005907640894279975,0.04700851212563584,0.0016574613969140284,0.0009478889764018561,0.023594794194191415,0.0,0.002531643124693339,-0.003734414497834293,0.0,0.019047651725802472,0.008130009387065762,0.0,0.0426632265165201,-0.014998013682309574,-0.013293440229373732,-0.008679699954620923,-0.009009042368734343,-0.003707320577722939,-0.002873527263487774,0.01982421607039453,0.024400004393273278,-0.007831678814417042,0.0,0.03592316827580655,0.033559386441410766,0.01208463880116617,0.005451713395638658,0.0068259517804514225,0.009497211168538744,0.006979673545667975,0.0,-0.014384599838318524,0.007462673470072012,0.02172834482012309,0.004276288236772174,0.14122135434588112,0.01047259806631673,-0.010712080018742576,-0.014675068170718286,0.007209502834774728,0.006213852110319884,1.302049117413162e-06
2010-02-09,0.042060149428081894,0.0499114990234375,0.026774826380380423,0.03400006323959981,0.028701686759182943,0.024943237094924298,0.0045557680785728305,-0.019867574435776025,0.016053859020717764,0.00219176028587853,0.02509331559228256,0.0244897944882152,0.02592388055221173,0.05160976334879841,0.0067796535634150334,0.0,-0.0055555742865324165,0.016243200864883844,0.0,0.012461047158154548,0.004032306247705675,0.0,0.04277742905136228,0.018518547822093057,0.017177508242103734,0.05069117214040553,0.04876038539216476,0.05116292341961515,0.04466859172296611,0.047516235865086465,0.018742617907284487,-0.0010886923194423082,0.03004696137920515,0.03467744459813282,0.023286338188622357,-0.004477657488922593,0.010844306738962084,0.06847449642976455,0.01715547709893861,0.015753053275180173,0.0,0.035135204895405225,0.047407434844918495,0.02706623287409471,0.02685884969817276,-0.19397990357861372,0.05508880523417403,-0.000636916778529395,0.007446776045129555,0.021052631578947434,0.024781087200924645,1.302049117413162e-06
2010-02-10,0.0041185531834064815,0.02494941924899341,0.01540898636043364,0.012250135661184602,-0.00651882661552472,-0.004424757969099358,-0.0098260895891632,0.0405405073115126,-0.0009880165751032788,0.02515039603682978,0.01640644204222652,-0.01195210505088573,0.010752729337312639,0.02251238273798739,0.03973062203901301,0.0,-0.004570819612004895,0.008196770040190593,0.0,0.012307680570162294,-0.004016112053978893,0.0,0.04637340937759271,0.010100971848948204,0.004966874660293108,-0.03508768701010212,-0.011820342129544525,-0.0017699016175783955,0.005517299235883399,-0.01649544143273718,0.013798365091481246,0.0204360915187618,0.010938863368905816,0.0015589083978198026,-0.01602566777283909,-0.00509739660339803,-0.003831417624521105,0.01205587963914767,0.014145823762431009,0.012406876251771504,0.0,0.033942450087251386,-0.013437051739017325,0.01223533846599878,-0.006379579359348075,0.05809124999716109,0.008849559209904045,-0.004673915915221816,-0.007391731476240393,0.0010309121043412528,0.005145400043264692,1.302049117413162e-06
2010-02-11,0.009023840372281988,0.020394764704387613,0.014396901280744778,0.007006323474803677,0.006561600551842517,-0.00222216720657209,0.00458011177062656,0.006493514959767133,0.026360665134098626,-0.005333337063717303,0.018447098004298335,-0.022983928228834105,0.028368766504145215,0.018494059587219835,-0.007771962946394373,0.0,0.034693916774401146,0.006097519343854385,0.0,0.015197626539394049,0.004435495091248853,0.0,0.024431799241415586,0.0480000123046882,0.0550247135190669,0.002272692593661141,0.0,0.010638140165760479,0.017558267254784488,0.02725442100944231,-0.0030245280482358305,0.005340354215968235,0.016230878833151996,0.0396887395230745,0.009771928987412304,0.021699855758916753,0.020000000000000018,0.034482737161388055,0.014216808244330581,0.022058861340894076,0.0,0.035353703837996076,0.009319015369676498,0.02092050595657846,0.016372399201522114,-0.09803919835599961,-0.02631585746397458,0.006830303206967647,-0.001063813554479709,0.02348093527421158,0.016571613042074773,1.302049117413162e-06
2010-02-12,-0.021138229662604813,-0.01676339297517726,-0.0072880592085387,-0.0003162302969020869,-0.009387252738906171,-0.019821896748310364,-0.01595744989224057,-0.012903242521193237,-0.015088320742438155,0.01635388267184279,-0.003773352164996302,0.005365216754349422,-0.0034482890161974256,-0.009943776505900503,0.0045691356112949055,0.0,0.005917083242760635,-0.01696965892568758,0.0,0.0019959584007662734,-0.014452033443434265,0.0,-0.01663891033917031,-0.0038167795388328596,0.0024983764901236327,-0.04580491412605803,-0.003987214593268562,0.006140414615684708,-0.00026958000243115787,0.010204139660920042,-0.000758481674092093,-0.03293485725970058,-0.0017745704866256595,-0.004491117524812127,-0.0390322102192896,-0.026548716382559845,-0.009049773755656076,-0.018181768180715374,0.011637096290078475,0.013189407034136957,0.0,-0.00731720540328995,-0.03196025786569667,-0.0022769378081506364,-0.021794109003709705,-0.2086956448702062,0.02702709874213749,-0.024803862929034137,-0.017039387093940928,-0.006842426282643088,-0.004143416655325249,1.302049117413162e-06
2010-02-17,0.029900303805469486,-0.00393445374535728,0.019319931898687415,0.02815569471105217,0.04395906832151342,0.047489243164801076,0.012355200754337936,0.013071912579421419,0.0006521299100503697,0.00712213108297699,-0.002525477603437132,0.0036946603757210816,0.02145331651962601,0.031877709798982856,0.01364524664419231,0.0,0.016176467150827767,0.0160295621415687,0.0,-0.001991982486588051,-0.002036641997977262,0.0,0.03102080894638326,0.006130245056030548,0.00467294495355941,0.03612159165698192,0.00800635223099122,0.016565053984724187,0.021574949438566415,0.01616113758514026,0.01935492178537923,0.016478875294655637,0.008888881689626649,0.007518859261738786,0.00033567792437905197,0.05000004623875465,-0.011415525114155223,0.043209872220698164,0.003660114762050748,0.013313632340146375,0.0,-0.004422668584295519,0.04548786869995736,0.017800156216648322,0.03487251818717363,0.26373625207202966,0.0017542854719465595,0.04478263854980469,0.04680389547118158,0.03951369449306119,0.02171437248500485,1.302049117413162e-06
2010-02-18,0.0032258034744816477,0.00888744125155716,-0.003790839153327674,-0.006153850733276123,0.016137146023843085,0.01279823443372341,-0.0076277216181678265,-0.019354782819760108,0.002932831640302336,0.00576215152453563,-0.02075947701013925,0.006134836853470826,0.009315705090307658,0.015658097857562225,0.015384561763694737,0.0,0.012542220676469373,0.011326835354686482,0.0,0.0009979316118464698,0.044489776722599794,0.0,-0.0005470181020641451,0.0022848352957358653,0.016744214434956328,0.03440367092880359,0.007148483729238375,0.007718558170408452,0.0031678587443721984,0.00596473338352177,-0.007818332940370931,0.0,-0.0330396844309464,0.0007462982767814097,0.0,-0.009235200021137757,-0.003079291762894565,0.014792844050630194,0.008075055436823186,0.012846675232379035,0.0,0.024185711682442212,0.02175441766091546,-0.005381226324835842,-0.003432245576282744,-0.06086952809021484,0.01917691526024634,0.019558855594028035,0.020492606823167447,0.016959043758742576,0.008189046592851357,1.303516891537626e-06
2010-02-19,0.022508094541019208,0.001957568244343788,-0.006468746503757061,-0.00959758864339555,0.009925520608319527,-0.009423866631464661,0.0030745550460660187,0.0,-0.020788355965491,-0.019270731915180694,-0.012409389500924517,-0.008536419608439094,-0.007048195713494021,0.001666704813639397,0.010101035648974799,0.0,-0.005717048143969894,-0.021599930128988087,0.0,-0.005982000751719729,0.006252436062692546,0.0,0.006020787729694055,-0.01215800919538923,-0.011893851136300482,0.008869213734196357,-0.0007885492592352161,-0.011063769308110594,-0.015789457410455787,-0.023716298999957197,-0.006378989296915827,-0.0040529073104823565,-0.011389534778547317,0.00298281046926574,0.0,0.002621506935348128,-0.01621621621621616,-0.009329448040799382,-0.002584038419816359,-0.00980110020316094,0.0,-0.018795265233702563,-0.008928589644978224,-0.006311974451856162,0.008140300853523685,0.14814813710659358,-0.02053434324375525,-0.0014285652004942806,0.00405681067007202,-0.00325854274318349,-0.0035232030190459618,1.303516891537626e-06
