;CAGR;Sharpe_Ratio_Anual;Max_Drawdown
ESTRATÉGIA ASSIMETRIA DE BAIXA;0,0954;0,5799;-0,4479
ASSIMETRIA ONLY;0,084;0,516;-0,4479
ENTROPIA ONLY;0,0987;0,6446;-0,3724
ESTRATÉGIA COM ASSIMETRIA DE ALTA;0,06;0,4041;-0,4117
